Image File,road,sidewalk,building,wall,fence,pole,light,sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motocycle,bicycle
13754.jpg,29.65,1.49,7.99,1.31,1.38,0.21,0,0.06,3.28,0.07,54.2,0.1,0,0.18,0,0,0,0.06,0.02
13755.jpg,29.65,1.49,7.99,1.31,1.38,0.21,0,0.06,3.28,0.07,54.2,0.1,0,0.18,0,0,0,0.06,0.02
13756.jpg,16.97,0.86,0.62,0.21,2.71,0.23,0,0,13.39,4.98,53.68,0.09,0,0.68,0,5.58,0,0,0.01
13757.jpg,17.38,6.5,3.66,2.03,0.53,0.31,0,0,15.24,2.76,50.67,0.11,0,0.75,0.05,0,0,0.01,0
13758.jpg,29.65,1.49,7.99,1.31,1.38,0.21,0,0.06,3.28,0.07,54.2,0.1,0,0.18,0,0,0,0.06,0.02
13759.jpg,22.75,5.14,7.11,0.86,0.25,0.74,0,0.03,7.15,0.68,54.15,0.14,0,0.59,0.37,0,0,0.02,0
1375.jpg,30.26,0.86,0.28,0.28,2.41,0.56,0.09,0.02,7.51,1.01,55.38,0,0,1.33,0,0,0,0.02,0
13760.jpg,19.91,8.09,4.69,4.84,2.2,0.3,0,0.03,0.57,1.56,55,0.1,0,2.52,0,0,0,0.1,0.06
13761.jpg,26.02,1.59,5.77,0.05,0.08,0.55,0,0,14.52,0.47,50.32,0.1,0.01,0.51,0,0,0,0,0
13762.jpg,23.93,1.68,7.21,0.03,0.87,0.4,0,0,14.98,2.4,47.6,0.17,0,0.69,0,0,0,0.03,0.01
13763.jpg,25.07,1.45,6.62,0.45,0.18,0.27,0,0,11.47,0.83,51.27,0.19,0,2.17,0,0,0,0.04,0.01
13764.jpg,19.91,8.09,4.69,4.84,2.2,0.3,0,0.03,0.57,1.56,55,0.1,0,2.52,0,0,0,0.1,0.06
13765.jpg,26.26,1.23,8.04,2.9,3.37,0.87,0,0.13,4.13,0.02,49.98,0.22,0.16,1.97,0.71,0,0,0.01,0
13766.jpg,24.44,0.82,12.95,0.62,2.85,1.04,0.01,0.05,6.15,0.09,46.38,0.02,0.29,3.53,0.11,0,0,0.62,0.04
13767.jpg,16.97,0.86,0.62,0.21,2.71,0.23,0,0,13.39,4.98,53.68,0.09,0,0.68,0,5.58,0,0,0.01
13768.jpg,20.87,3.43,9.23,0.34,0.84,0.45,0,0,10.53,0.65,52.8,0.17,0,0.68,0,0,0,0.01,0.01
13769.jpg,19.04,3.01,10.47,0.02,0.07,0.19,0,0.02,13.77,0.2,51.96,0.26,0,0.97,0,0,0,0.02,0
1376.jpg,30.55,0.39,0.59,1.54,1.07,0.22,0.03,0,1.77,0.08,60.09,0.03,0,0.92,2.4,0,0,0.32,0
13770.jpg,20.64,2.19,8.48,1.96,0,0.82,0,0.09,15.45,0.89,47.92,0.18,0,1.36,0,0,0,0,0.01
13771.jpg,24.44,0.82,12.95,0.62,2.85,1.04,0.01,0.05,6.15,0.09,46.38,0.02,0.29,3.53,0.11,0,0,0.62,0.04
13772.jpg,24.44,0.82,12.95,0.62,2.85,1.04,0.01,0.05,6.15,0.09,46.38,0.02,0.29,3.53,0.11,0,0,0.62,0.04
13773.jpg,22.07,2.75,6.19,0.33,0.79,0.37,0.02,0.11,8.95,1.12,55.12,0.04,0.09,0.78,0,0,0,1.13,0.15
13774.jpg,20.43,4.56,11.78,0.04,8.4,0.58,0.01,0.01,2.01,0,51.53,0.11,0,0.56,0,0,0,0,0.01
13775.jpg,20.53,3.69,24.74,0.51,2.61,0.37,0,0,0.1,0,44.39,0.18,0.03,2.7,0.09,0,0,0.03,0.03
13776.jpg,23.98,1.67,17.32,0.5,0,0.3,0,0,0.31,0,49.21,0.22,0.02,6.12,0,0,0,0.28,0.06
13777.jpg,19.1,0.98,9.78,5.31,0.17,0.7,0,0.07,0.04,2.03,50.66,0.23,0.05,10.55,0.27,0,0,0.06,0
13778.jpg,18.63,3.95,9.03,2.12,9.4,0.54,0,0.01,0.28,0.08,52.88,0.32,0.08,1.82,0.01,0,0,0.08,0.78
13779.jpg,15.79,1.68,7.6,2.52,6.36,0.13,0,0,0.87,7.12,54.12,0.26,0,3.5,0.04,0,0,0,0
1377.jpg,32.34,0.64,1.07,1.33,0.72,0.36,0.01,0.13,2.47,0.06,59.96,0.03,0,0.57,0.02,0,0,0.27,0.02
